"KEY"	"KEY_ALT"	"SYSTEM"	"LEVEL"	"LAT_NAME"	"EN_NAME"	"DESC_LINK"	"BDY_LEN"	"BDY_SPAN"	"SRC_LINK"	"BIRD"	"MMAMMAL"	"REPTILE"	"LMAMMAL"	"FISH"	"GROUP1"	"GROUP2"	"GROUP3"	"AUTHOR"	"LOC_LINK"	"REST_LINK"	"MIG_LINK"	"IMG_SCHEMA"	"IMG_FOTO"	"IMG_AERIAL"	"MES_AERIAL"	"STS_LAW"
"EURING:110"		"EURING"	"S"	"Podiceps auritus"	"Slavonian Grebe"	"${WEB.AVIBASE}/018B3169 "	"31-38"	"59-65"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/slavonian-grebe/"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"EURING:120"		"EURING"	"S"	"Podiceps nigricollis"	"Black-necked Grebe"	"${WEB.AVIBASE}/32DCEC14 "	"28-34"	"56-60"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/black-necked-grebe/"	"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"GRM:127"		"EURING GROUP"	"SG"	"Podiceps grisegena/ cristatus"	"Red-necked/Great Crested Grebe"					"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"GRM:128"		"EURING GROUP"	"SG"	"Podiceps auritus/ nigricollis"	"Slavonian/Black-necked Grebe"					"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"known"									
"EURING:129"	"GBIF:2482049"	"EURING"	"G"	"Podiceps"	"unidentified grebe"					"t"	"f"	"f"	"f"		"Waterbird"	"Grebe"	"unknown"									
"EURING:140"		"EURING"	"S"	"Diomedea melanophris"	"Black-browed Albatross"	"${WEB.AVIBASE}/F9CBC9EB "	"81-95"	"214-244"	"http://www.marinespecies.org/aphia.php?p=taxdetails&id=212587"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:220"		"EURING"	"S"	"Fulmarus glacialis"	"Northern Fulmar"	"${WEB.AVIBASE}/049D9AEA "	"45-50"	"100-112"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/fulmar/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:340"		"EURING"	"S"	"Bulweria bulwerii"	"Bulwer's Petrel"	"${WEB.AVIBASE}/058773E4 "	"25-29"	"78-90"	"https://www.inaturalist.org/taxa/4134-Bulweria-bulwerii"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:360"		"EURING"	"S"	"Calonectris diomedea"	"Cory's Shearwater"	"${WEB.AVIBASE}/710BB4E6 "	"45-46"	"105-125"	"https://www.birdid.no/bird/eBook.php?specieID=1257"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:400"		"EURING"	"S"	"Puffinus gravis"	"Great Shearwater"	"${WEB.AVIBASE}/8B879DFA"	"43-51"	"100-118"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/great-shearwater/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"GRM:409"		"Custom"	"SG"	"Puffinus gravis/ Calonectris  diomedea"	"Great/Cory's Shearwater"					"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:430"		"EURING"	"S"	"Puffinus griseus"	"Sooty Shearwater"	"${WEB.AVIBASE}/1725B07D "	"40-51"	"94-109"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/sooty-shearwater/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:460"		"EURING"	"S"	"Puffinus puffinus"	"Manx Shearwater"	"${WEB.AVIBASE}/5AEDC002 "	"30-38"	"76-82"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/manx-shearwater/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:462"		"EURING"	"SS"	"Puffinus puffinus yelkkouan"	"Yelkouan Shearwater"	"${WEB.AVIBASE}/FD97EC1E "	"30-36"	"70-84"	"http://www.associaciocetacea.org/en/conservation/mediterranean-species/seabirds/yelkouan-shearwater/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:463"		"EURING"	"SS"	"Puffinus puffinus mauretanicus"	"Balearic Shearwater"	"${WEB.AVIBASE}/42F573C7 "	"34-39"	"83-93"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/balearic-shearwater/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:482"		"EURING"	"S"	"Puffinus baroli"	"Barolo Shearwater"	"${WEB.AVIBASE}/5F555FDD "	"28"	62	"https://app.bto.org/birdfacts/results/bob482.htm"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:480"		"EURING"	"S"	"Puffinus assimilis"	"Little Shearwater"	"${WEB.AVIBASE}/0205EDC6 "				"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:499"	"GBIF:5229335"	"EURING"	"G"	"Puffinus"	"unidentified shearwater"					"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"unknown"									
"EURING:500"		"EURING"	"S"	"Oceanites oceanicus"	"Wilson's Storm-petrel"	"${WEB.AVIBASE}/D295D249 "	"16-19"	"38-42"	"https://seamap-dev.env.duke.edu/species/174650/html"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:520"		"EURING"	"S"	"Hydrobates pelagicus"	"European Storm-petrel"	"${WEB.AVIBASE}/E1638A37 "	"14-18"	"36-39"	"https://www.birdid.no/bird/eBook.php?specieID=1278"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:550"		"EURING"	"S"	"Oceanodroma leucorhoa"	"Leach's Storm-petrel"	"${WEB.AVIBASE}/C5FB15C6 "	"19-22"	"45-48"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/leachs-petrel/"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:262"		"EURING"	"S"	"Pterodroma feae"	"Fea's petrel"	"${WEB.AVIBASE}/CFE78BAC "	"38"	"88-94"	"https://www.oiseaux.net/birds/fea.s.petrel.html"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"GRM:558"		"EURING GROUP"	"SG"	"Oceanodroma leucorhoa/Hydrobates pelagicus"	"European/Leach`s Storm-petrel"					"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:560"		"EURING"	"S"	"Oceanodroma monorhis"	"Swinhoe's Storm-petrel"	"${WEB.AVIBASE}/80DE8670 "	"20"	45	"https://app.bto.org/birdfacts/results/bob560.htm"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:580"		"EURING"	"S"	"Oceanodroma castro"	"Band-rumped Storm Petrel"	"${WEB.AVIBASE}/D3FAE385 "	"19-21"	"43-46"	"http://portugal.inaturalist.org/taxa/204553-Oceanodroma-castro"	"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"known"									
"EURING:639"	"GBIF:2481998"	"EURING"	"G"	"Oceanodroma"	"unidentified storm petrel"					"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"unknown"									
"GRM:339"	"GBIF:2481443"	"Custom"	"UI"	"Pterodroma"	"unidentified petrel"					"t"	"f"	"f"	"f"		"Seabird"	"Procellariiform"	"unknown"									
"EURING:710"		"EURING"	"S"	"Sula bassana"	"Northern Gannet"	"${WEB.AVIBASE}/534FB490 "	"92.5-110"	"484-535"	"https://animaldiversity.org/accounts/Morus_bassanus/"	"t"	"f"	"f"	"f"		"Seabird"	"Gannet"	"known"									
"EURING:720"		"EURING"	"S"	"Phalacrocorax carbo"	"Great Cormorant"	"${WEB.AVIBASE}/ACD40E8C "	"80-100"	"130-160"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/cormorant/"	"t"	"f"	"f"	"f"		"Seabird"	"Cormorant and Shag"	"known"									
"EURING:721"		"EURING"	"SS"	"Phalacrocorax carbo carbo"	"North Atlantic Cormorant"	"${WEB.AVIBASE}/ACD40E8C "	"84-90"	"130-160"	"https://animaldiversity.org/accounts/Phalacrocorax_carbo/"	"t"	"f"	"f"	"f"		"Seabird"	"Cormorant and Shag"	"known"									
"EURING:800"		"EURING"	"S"	"Phalacrocorax aristotelis"	"European Shag"	"${WEB.AVIBASE}/CECC7B26 "	"65-80"	"90-105"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/shag/"	"t"	"f"	"f"	"f"		"Seabird"	"Cormorant and Shag"	"known"									
"GRM:848"		"EURING GROUP"	"SG"	"Phalacrocorax  aristotelis/ carbo"	"European Shag/Great Cormorant"	"${WEB.AVIBASE}/BD501295 "	"65-100"	"90-160"		"t"	"f"	"f"	"f"		"Seabird"	"Cormorant and Shag"	"known"									
"EURING:820"		"EURING"	"S"	"Phalacrocorax pygmeus"	"Pygmy Cormorant"	"${WEB.AVIBASE}/AFF49475"	"45-55"	"45-55"	"https://www.birdid.no/bird/eBook.php?specieID=1144"	"t"	"f"	"f"	"f"		"Seabird"	"Cormorant and Shag"	"known"									
"EURING:890"		"EURING"	"S"	"Pelecanus crispus"	"Dalmatian Pelican"	"${WEB.AVIBASE}/7C6D8BA2"	"160-180"	"310-345"	"https://www.birdid.no/bird/eBook.php?specieID=1433"	"t"	"f"	"f"	"f"		"Waterbird"	"Pelican"	"known"									
"EURING:900"		"EURING"	"S"	"Pelecanus rufescens"	"Pink-backed Pelican"	"${WEB.AVIBASE}/8D24E93C"	"124.46- 129.54"	"24-13"	"http://www.sfzoo.org/animals/birds/pink-backed-pelican.htm#:~:text=Pink%2Dbacked%20pelicans%20are%20one,wingspan%20of%207%20%E2%80%93%209.5%20feet."	"t"	"f"	"f"	"f"		"Waterbird"	"Pelican"	"known"									
"EURING:919"	"GBIF:10650925"	"EURING"	"S"	"Pelecanus"	"Pelican sp."					"t"	"f"	"f"	"f"		"Waterbird"		"unknown"									
"EURING:950"		"EURING"	"S"	"Botaurus stellaris"	"Eurasian Bittern"	"${WEB.AVIBASE}/0F42F11A"	"64-80"	"125-135"	"https://animaldiversity.org/accounts/Botaurus_stellaris/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:960"		"EURING"	"S"	"Botaurus lentiginosus"	"American Bittern"	"${WEB.AVIBASE}/13E9F9B4"	"58-68"	"80-106"	"https://archives.lib.state.ma.us/bitstream/handle/2452/423104/ocn954244415.pdf?sequence=1&isAllowed=y"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:980"		"EURING"	"S"	"Ixobrychus minutus"	"Little Bittern"	"${WEB.AVIBASE}/7AAD57AC"	"33-38"	"52-58"	"https://www.birdid.no/bird/eBook.php?specieID=1143"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1040"		"EURING"	"S"	"Nycticorax nycticorax"	"Black-crowned Night Heron"	"${WEB.AVIBASE}/6BB94D7E "	"58-65"	"105-112"	"https://www.birdid.no/bird/eBook.php?specieID=1528"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"GRM:1071"	"GBIF:7059964"	"GBIF"	"S"	"Butorides virescens"	"Green Heron"	"${WEB.AVIBASE}/86D45B8F "	"44"	56	"https://app.bto.org/birdfacts/results/bob1070.htm"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1080"		"EURING"	"S"	"Ardeola ralloides"	"Squacco Heron"	"${WEB.AVIBASE}/CE73EBD7 "	"44-47"	"80-92"	"https://www.birdid.no/bird/eBook.php?specieID=1880"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1110"		"EURING"	"S"	"Bubulcus ibis"	"Cattle Egret"	"${WEB.AVIBASE}/AB1CB216 "	"45-50"	"82-95"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/cattle-egret/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1190"		"EURING"	"S"	"Ardea garzetta"	"Little Egret"	"${WEB.AVIBASE}/A6E9EDE5 "	"55-65"	"88-95"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/little-egret/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1210"		"EURING"	"S"	"Ardea alba"	"Great Egret"	"${WEB.AVIBASE}/267D8CCE "	"94"	155	"https://www.wildlifetrusts.org/wildlife-explorer/birds/herons-egrets-and-spoonbill/great-white-egret"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1220"		"EURING"	"S"	"Ardea cinerea"	"Grey Heron"	"${WEB.AVIBASE}/6AC87967 "	"90-98"	"175-195"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/grey-heron/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1240"		"EURING"	"S"	"Ardea purpurea"	"Purple Heron"	"${WEB.AVIBASE}/8D6CB009 "	"78-90"	"120-150"	"https://animaldiversity.org/accounts/Ardea_purpurea/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1310"		"EURING"	"S"	"Ciconia nigra"	"Black Stork"	"${WEB.AVIBASE}/E2817DAE "	"95-100"	"144-155"	"https://animaldiversity.org/accounts/Ciconia_nigra/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1340"		"EURING"	"S"	"Ciconia ciconia"	"White Stork"	"${WEB.AVIBASE}/28825494 "	"100-115"	"65-155"	"https://animaldiversity.org/accounts/Ciconia_ciconia/"	"t"	"f"	"f"	"f"		"Waterbird"	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1360"		"EURING"	"S"	"Plegadis falcinellus"	"Glossy Ibis"	"${WEB.AVIBASE}/D4540F88"	"60"	88	"https://app.bto.org/birdfacts/results/bob1360.htm"	"t"	"f"	"f"	"f"		"Terrestrial "	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1420"		"EURING"	"S"	"Threskiornis aethiopicus"	"Sacred Ibis"	"${WEB.AVIBASE}/550DE745"	"65-75"	"112-124"	"https://animaldiversity.org/accounts/Threskiornis_aethiopicus/"	"t"	"f"	"f"	"f"		"Terrestrial "	"Heron, Egrets, Stork, Bitter and Ibis"	"known"									
"EURING:1440"		"EURING"	"S"	"Platalea leucorodia"	"Spoonbill"	"${WEB.AVIBASE}/A0A584C1 "	"80-90"	"120-135"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/spoonbill/"	"t"	"f"	"f"	"f"		"Waterbird"	"Spoonbill"	"known"									
"GRM:1489"	"GBIF:2481102"	"Custom"	"G"	"Phoenicopterus"	"Flamingo sp."					"t"	"f"	"f"	"f"		"Waterbird"	"Flamingo"	"unknown"									
"EURING:1520"		"EURING"	"S"	"Cygnus olor"	"Mute Swan"	"${WEB.AVIBASE}/694C127A "	"140-160"	"208-238"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/mute-swan/"	"t"	"f"	"f"	"f"		"Waterbird"	"Swan"	"known"									
"EURING:1530"		"EURING"	"S"	"Cygnus columbianus"	"Tundra Swan"	"${WEB.AVIBASE}/0BCBA6B9 "	"120-147"	168	"https://www.allaboutbirds.org/guide/Tundra_Swan/id"	"t"	"f"	"f"	"f"		"Waterbird"	"Swan"	"known"									
"EURING:1540"		"EURING"	"S"	"Cygnus cygnus"	"Whooper Swan"	"${WEB.AVIBASE}/BDDB5670 "	"140-160"	"205-235"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/whooper-swan/"	"t"	"f"	"f"	"f"		"Waterbird"	"Swan"	"known"									
"EURING:1532"		"EURING"	"S"	"Cygnus columbianus bewickii"	"Bewick's Swan"	"${WEB.AVIBASE}/3D8F0A76 "	"115-127"	"170-195"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/bewicks-swan/"	"t"	"f"	"f"	"f"		"Waterbird"	"Swan"	"known"									
"EURING:1559"	"GBIF:2498334"	"EURING"	"G"	"Cygnus"	"unidentified swan"	"${WEB.AVIBASE}/F9EC83D6 "				"t"	"f"	"f"	"f"		"Waterbird"	"Swan"	"unknown"									
"EURING:1560"		"EURING"	"S"	"Anser cygnoides"	"Swan Goose"	"${WEB.AVIBASE}/946E4517"	"81-94"	"160-185"	"https://animaldiversity.org/accounts/Anser_cygnoides/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1630"		"EURING"	"S"	"Anser caerulescens"	"Snow Goose"	"${WEB.AVIBASE}/D3A260BC "	"65-80"	"132-165"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/snow-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1570"		"EURING"	"S"	"Anser fabalis"	"Bean Goose"	"${WEB.AVIBASE}/AD849FCB "	"66-88"	"147-175"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/taiga-bean-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1580"		"EURING"	"S"	"Anser brachyrhynchus"	"Pink-footed Goose"	"${WEB.AVIBASE}/AFA7EE74 "	"60-76"	"135-160"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/pink-footed-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1590"		"EURING"	"S"	"Anser albifrons"	"Greater White-fronted Goose"	"${WEB.AVIBASE}/466E9077 "	"65-78"	"130-165"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/white-fronted-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1600"		"EURING"	"S"	"Anser erythropus"	"Lesser White-fronted Goose"	"${WEB.AVIBASE}/184D2329 "	"60"	128	"https://app.bto.org/birdfacts/results/bob1600.htm"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1610"		"EURING"	"S"	"Anser anser"	"Greylag Goose"	"${WEB.AVIBASE}/4AED44E8 "	"76-89"	"147-180"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/greylag-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1620"		"EURING"	"S"	"Anser indicus"	"Bar-headed goose"	"${WEB.AVIBASE}/B7159EF0 "	"68-78"	"140-160"	"https://animaldiversity.org/accounts/Anser_indicus/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1660"		"EURING"	"S"	"Branta canadensis"	"Canada Goose"	"${WEB.AVIBASE}/B59E1863 "	"90-110"	"150-180"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/canada-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1670"		"EURING"	"S"	"Branta leucopsis"	"Barnacle Goose"	"${WEB.AVIBASE}/3163ED86 "	"58-70"	"132-145"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/barnacle-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1680"		"EURING"	"S"	"Branta bernicla"	"Brent Goose"	"${WEB.AVIBASE}/8C09000A "	"56-61"	"110-120"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/brent-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1690"		"EURING"	"S"	"Branta ruficollis"	"Red-breasted Goose"	"${WEB.AVIBASE}/0D280B3F "	"54"	126	"https://app.bto.org/birdfacts/results/bob1690.htm"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"EURING:1700"		"EURING"	"S"	"Alopochen aegyptiaca"	"Egyptian Goose"	"${WEB.AVIBASE}/DA2F24E3 "	"63-73"	"110-130"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/egyptian-goose/"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
" EURING:1650"		"EURING"	"S"	"Anser canagicus"	"Emperor Goose "	"${WEB.AVIBASE}/1E6F0F8D "	"68.5"	119	"https://animaldiversity.org/accounts/Anser_canagicus/   https://animalia.bio/emperor-goose"	"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"known"									
"GRM:1798"		"EURING GROUP"	"UI"	"Anser/Branta"	"unidentified goose"					"t"	"f"	"f"	"f"		"Waterbird"	"Goose"	"unknown"									
"EURING:1710"		"EURING"	"S"	"Tadorna ferruginea"	"Ruddy Shelduck"	"${WEB.AVIBASE}/1F9D883E "	"64"	133	"https://app.bto.org/birdfacts/results/bob1710.htm"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1730"		"EURING"	"S"	"Tadorna tadorna"	"Common Shelduck"	"${WEB.AVIBASE}/5EAB32D3 "	"58-65"	"110-133"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/shelduck/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1790"		"EURING"	"S"	"Anas penelope"	"Eurasian Wigeon"	"${WEB.AVIBASE}/15EE0D36 "	"45-51"	"75-86"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/wigeon/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1800"		"EURING"	"S"	"Anas americana"	"American Wigeon"	"${WEB.AVIBASE}/D201EB72 "	"45-58"	86.4	"https://animaldiversity.org/accounts/Anas_americana/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:25800"		"EURING"	"S"	"Anas sibilatrix"	"Chiloe Wigeon"	"${WEB.AVIBASE}/0B8AF41F "				"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1810"		"EURING"	"S"	"Anas falcata"	"Falcated Teal"	"${WEB.AVIBASE}/978D4485 "	"46-53"	"79-91"	"https://animaldiversity.org/accounts/Anas_falcata/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1842"		"EURING"	"S"	"Anas crecca carolinensis"	"Green-Winged Teal"	"${WEB.AVIBASE}/DE24B98D "	"36"	61	"https://app.bto.org/birdfacts/results/bob1842.htm"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1820"		"EURING"	"S"	"Anas strepera"	"Gadwall"	"${WEB.AVIBASE}/C235A4D7 "	"46-56"	"84-95"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/gadwall/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1830"		"EURING"	"S"	"Anas formosa"	"Baikal Teal"	"${WEB.AVIBASE}/63EABB42 "	"39-43"	"180-220"	"https://animaldiversity.org/accounts/Anas_formosa/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1840"		"EURING"	"S"	"Anas crecca"	"Eurasian Teal"	"${WEB.AVIBASE}/115F04DD "	"34-38"	"58-64"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/teal/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
"EURING:1860"		"EURING"	"S"	"Anas platyrhynchos"	"Mallard"	"${WEB.AVIBASE}/85625D75 "	"51-62"	"81-98"	"https://www.rspb.org.uk/birds-and-wildlife/wildlife-guides/bird-a-z/mallard/"	"t"	"f"	"f"	"f"		"Waterbird"	"Duck"	"known"									
